Production DK areas in MWh,,,
Data was last updated 01-01-2019,,,
,DK1,DK2,DK
20-05-2017,32119,12735,44854
21-05-2017,29858,7411,37269
22-05-2017,27921,7513,35434
23-05-2017,32453,8355,40808
24-05-2017,59864,16948,76812
25-05-2017,51119,12326,63445
26-05-2017,29262,9784,39046
27-05-2017,20450,6751,27201
28-05-2017,46477,13143,59620
29-05-2017,36306,9305,45611
30-05-2017,38191,10784,48975
31-05-2017,83610,23682,107292
01-06-2017,59471,18084,77555
02-06-2017,31409,8895,40304
03-06-2017,21394,8089,29483
04-06-2017,27135,8427,35562
05-06-2017,36783,8628,45411
06-06-2017,54740,11837,66577
07-06-2017,52708,18738,71446
08-06-2017,50023,19633,69656
09-06-2017,28271,14038,42309
10-06-2017,30679,9122,39801
11-06-2017,36883,14250,51133
12-06-2017,64321,21502,85823
13-06-2017,69521,24001,93522
14-06-2017,38499,13498,51997
15-06-2017,20190,10565,30755
16-06-2017,66630,23047,89677
17-06-2017,42033,19085,61118
18-06-2017,30375,11242,41617
19-06-2017,25356,14136,39492
20-06-2017,58660,18947,77607
21-06-2017,37784,18772,56556
22-06-2017,21813,12601,34414
23-06-2017,28168,17118,45286
24-06-2017,53165,20229,73394
25-06-2017,70300,20089,90389
26-06-2017,73295,23595,96890
27-06-2017,26849,17445,44294
28-06-2017,36440,25171,61611
29-06-2017,46567,21875,68442
30-06-2017,37775,14629,52404
01-07-2017,33708,9742,43450
02-07-2017,62383,19626,82009
03-07-2017,57788,22917,80705
04-07-2017,46812,23985,70797
05-07-2017,34256,19063,53319
06-07-2017,27680,16234,43914
07-07-2017,24368,13505,37873
08-07-2017,41061,14792,55853
09-07-2017,28685,10561,39246
10-07-2017,25284,10863,36147
11-07-2017,36968,12412,49380
12-07-2017,50907,12912,63819
13-07-2017,55402,22358,77760
14-07-2017,21315,11983,33298
15-07-2017,18401,10480,28881
16-07-2017,49947,14515,64462
17-07-2017,49705,14600,64305
18-07-2017,33488,12489,45977
19-07-2017,18856,14686,33542
20-07-2017,33301,14272,47573
21-07-2017,22017,11893,33910
22-07-2017,26215,9826,36041
23-07-2017,36764,8464,45228
24-07-2017,18271,7583,25854
25-07-2017,22834,14526,37360
26-07-2017,13600,11563,25163
27-07-2017,24841,8747,33588
28-07-2017,26339,11116,37455
29-07-2017,44902,14044,58946
30-07-2017,35839,9790,45629
31-07-2017,35594,9192,44786
01-08-2017,15339,10022,25361
02-08-2017,25040,9876,34916
03-08-2017,41773,13343,55116
04-08-2017,61768,22838,84606
05-08-2017,52110,16833,68943
06-08-2017,51414,14279,65693
07-08-2017,37015,9748,46763
08-08-2017,21181,14851,36032
09-08-2017,47305,13844,61149
10-08-2017,30128,7908,38036
11-08-2017,12898,7741,20639
12-08-2017,21645,9073,30718
13-08-2017,49663,11656,61319
14-08-2017,18958,8337,27295
15-08-2017,34681,16724,51405
16-08-2017,21950,11263,33213
17-08-2017,48588,16134,64722
18-08-2017,32796,13460,46256
19-08-2017,44226,14929,59155
20-08-2017,51287,17458,68745
21-08-2017,57448,24025,81473
22-08-2017,41107,15537,56644
23-08-2017,29499,12569,42068
24-08-2017,49902,13980,63882
25-08-2017,58910,16231,75141
26-08-2017,18638,8660,27298
27-08-2017,19361,10454,29815
28-08-2017,37298,10727,48025
29-08-2017,53193,12653,65846
30-08-2017,39264,10923,50187
31-08-2017,46136,13039,59175
01-09-2017,39393,11159,50552
02-09-2017,18506,8552,27058
03-09-2017,15655,8738,24393
04-09-2017,32348,14209,46557
05-09-2017,39967,10540,50507
06-09-2017,37684,14208,51892
07-09-2017,47749,20554,68303
08-09-2017,40469,21048,61517
09-09-2017,21251,14531,35782
10-09-2017,43715,14701,58416
11-09-2017,69196,22723,91919
12-09-2017,63497,21525,85022
13-09-2017,53110,23636,76746
14-09-2017,37576,22572,60148
15-09-2017,48541,20350,68891
16-09-2017,27066,10958,38024
17-09-2017,21302,7709,29011
18-09-2017,34939,10012,44951
19-09-2017,47190,13998,61188
20-09-2017,37319,16836,54155
21-09-2017,36638,9770,46408
22-09-2017,36138,10070,46208
23-09-2017,20361,8872,29233
24-09-2017,21717,12308,34025
25-09-2017,43969,18574,62543
26-09-2017,43807,17652,61459
27-09-2017,45514,21516,67030
28-09-2017,47154,24754,71908
29-09-2017,50189,21640,71829
30-09-2017,60356,24741,85097
01-10-2017,34314,15212,49526
02-10-2017,61929,30816,92745
03-10-2017,66616,27429,94045
04-10-2017,66206,30025,96231
05-10-2017,56802,26253,83055
06-10-2017,58797,25325,84122
07-10-2017,47937,24912,72849
08-10-2017,43968,21010,64978
09-10-2017,45989,25385,71374
10-10-2017,44882,24573,69455
11-10-2017,53822,24617,78439
12-10-2017,81368,32997,114365
13-10-2017,53714,26492,80206
14-10-2017,49015,25138,74153
15-10-2017,42630,18104,60734
16-10-2017,37634,17780,55414
17-10-2017,71177,25202,96379
18-10-2017,54147,26254,80401
19-10-2017,56558,25091,81649
20-10-2017,60553,20594,81147
21-10-2017,48432,15513,63945
22-10-2017,37934,15759,53693
23-10-2017,43436,20756,64192
24-10-2017,56551,23924,80475
25-10-2017,54813,29823,84636
26-10-2017,60272,29565,89837
27-10-2017,64911,30088,94999
28-10-2017,72788,31577,104365
29-10-2017,65754,30374,96128
30-10-2017,54713,23262,77975
31-10-2017,44117,21747,65864
01-11-2017,56999,26181,83180
02-11-2017,61281,26659,87940
03-11-2017,52324,20859,73183
04-11-2017,48996,19265,68261
05-11-2017,38386,19417,57803
06-11-2017,50422,18410,68832
07-11-2017,48720,19165,67885
08-11-2017,52713,20281,72994
09-11-2017,66777,25785,92562
10-11-2017,75111,31915,107026
11-11-2017,75262,34141,109403
12-11-2017,55652,27871,83523
13-11-2017,50592,26255,76847
14-11-2017,65742,31873,97615
15-11-2017,53037,23309,76346
16-11-2017,58428,28311,86739
17-11-2017,70034,27993,98027
18-11-2017,77621,35686,113307
19-11-2017,60611,35316,95927
20-11-2017,43542,29998,73540
21-11-2017,47823,28293,76116
22-11-2017,80946,37052,117998
23-11-2017,87596,35791,123387
24-11-2017,50562,30863,81425
25-11-2017,43148,24831,67979
26-11-2017,68825,36082,104907
27-11-2017,66172,40316,106488
28-11-2017,47573,36227,83800
29-11-2017,46264,27276,73540
30-11-2017,49988,29917,79905
01-12-2017,53585,28542,82127
02-12-2017,54958,30527,85485
03-12-2017,63382,35158,98540
04-12-2017,63952,31605,95557
05-12-2017,90989,37782,128771
06-12-2017,91999,38847,130846
07-12-2017,94734,40858,135592
08-12-2017,90538,38704,129242
09-12-2017,78991,37480,116471
10-12-2017,47060,32903,79963
11-12-2017,62327,30557,92884
12-12-2017,76642,31859,108501
13-12-2017,80811,38699,119510
14-12-2017,64065,36091,100156
15-12-2017,47574,31639,79213
16-12-2017,47239,27636,74875
17-12-2017,49211,26685,75896
18-12-2017,61451,31927,93378
19-12-2017,53027,31541,84568
20-12-2017,57002,28860,85862
21-12-2017,63287,28836,92123
22-12-2017,69884,28387,98271
23-12-2017,85151,33589,118740
24-12-2017,67633,29383,97016
25-12-2017,86618,29310,115928
26-12-2017,82048,32174,114222
27-12-2017,54377,31899,86276
28-12-2017,47799,28981,76780
29-12-2017,59114,34585,93699
30-12-2017,48609,33411,82020
31-12-2017,56649,29411,86060
